source,name,open,location,genre,city,state,year_opened,the_geom,year_closed,audience,notes,known_open_date,approved,location_confirmed,date_confirmed,cartodb_id,created_at,updated_at
Map 1980,Nite Life,false,85 Washington Pl,-73.9999134,New York,NY,1980,0101000020E610000000000031008052C0262941BAB85D4440,,,lesbian ,,true,true,false,537,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Pink Pages Winter Spring 1994,Pandora's Box,false,70 Grove St,-74.00285052,New York,NY,1994,0101000020E61000000000C0D92D8052C06F803E90D75D4440,,,,,true,true,false,538,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,One if by Land,false,17 Barrow St,-74.00276389,New York,NY,1980,0101000020E6100000000000152B8052C06500F561C45D4440,,,,,true,true,false,539,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Nikos Magazine Shop,false,462 Sixth Av,-73.99819581,New York,NY,,0101000020E61000000000601FDF7F52C029B8DE1E225E4440,,,,,true,true,false,540,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1969 Gay Scene Guide,Omnibus,false,69 West 10 St,-73.99753553,New York,NY,1969,0101000020E61000000000C0D8E37F52C07BBA10FA0B5E4440,,,,,true,true,false,541,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Mineshaft,false,832 Washington St,-74.00798226,New York,NY,1980,0101000020E610000000000050868052C0FAF94E20B85E4440,,,,,true,true,false,542,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Milk,false,40 East 58 St,-73.97151826,New York,NY,,0101000020E6100000000040F42B7E52C0D2BC6E2D9E614440,,,"At Club 58, Mondays",,true,true,false,543,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,"New York, New York",false,33 East 52 St,-73.97503919,New York,NY,1980,0101000020E6100000000040CC627E52C0628B410030614440,,,,,true,true,false,544,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Reno Sweeney,false,126 West 13 St,-73.99830042,New York,NY,1980,0101000020E6100000000080C7E97F52C08F74DF18585E4440,,,cabaret and restaurant,,true,true,false,545,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Queen,false,125 East 11 St,-73.98969145,New York,NY,,0101000020E61000000000C01F527F52C0CA493D57AB5D4440,,,"At Webster Hall (Main Space?), Wednesday",,true,true,false,546,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1968 Spring Gay Scene Guide Quarterly,Pilgrim Bar,false,49 East 10 St,-73.99226765,New York,NY,1968,0101000020E610000000000074817F52C0515A9A31B95D4440,,,,,true,true,false,547,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Powerhouse,false,12 West 21 St,-73.9912382,New York,NY,,0101000020E61000000000800C787F52C05A9D7981CA5E4440,,,"At Sound Factory Bar, Saturdays",,true,true,false,548,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Ramrod Theatre,false,210 West 49 St,-73.98482461,New York,NY,1980,0101000020E6100000FFFFFF91097F52C0988B0A3263614440,,,,,true,true,false,549,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Pink Pages 1991,Parallel,false,229 West 28 St,-73.99434826,New York,NY,1991,0101000020E610000000008006AB7F52C0BFCC5238BE5F4440,,,,,true,true,false,550,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Pelican,false,200 West 70 St,-73.98301551,New York,NY,1980,0101000020E6100000FFFFBF2BEC7E52C08A5442E382634440,,,,,true,true,false,551,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1969 Gay Scene Guide,Red Velvet Swing,false,57 Lexington Av,-73.98390541,New York,NY,1969,0101000020E6100000000080F8F57E52C0D30E18F9C95E4440,,,,,true,true,false,552,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1968 Spring Gay Scene Guide Quarterly,Red Swing,false,57 Lexington Av,-73.98390541,New York,NY,1968,0101000020E6100000000080BDF47E52C0F2B4852CC95E4440,,,,,true,true,false,553,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Pearl's Place,false,1854 Second Ave,-73.94718182,New York,NY,1980,0101000020E6100000FFFFBFC99B7C52C022A113405A644440,,,lesbian?  entertainment,,true,true,false,554,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Place Across the Street,false,56 West 46 St,-73.9807865,New York,NY,1980,0101000020E6100000FFFFFFB3D87E52C0B09C4C08E9604440,,,,,true,true,false,555,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Prive's,false,1078 First Av,-73.9621346,New York,NY,1980,0101000020E6100000000000C38E7D52C05F25E92034614440,,,,,true,true,false,556,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Peeches,false,1201 Lexington Av,-73.95771628,New York,NY,1980,0101000020E61000000000E0A2477D52C0539701C565634440,,,,,true,true,false,557,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Unknown,Prince Theater,false,399 West St,-74.01025106,New York,NY,,0101000020E61000000000009DA28052C052FC425AE25D4440,,,,,true,true,false,558,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Peter Rabbit,false,305 West 10 St,-74.00961599,New York,NY,1980,0101000020E6100000000080C4A08052C0C2D94D06DD5D4440,,,black,,true,true,false,559,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Phebe's,false,361 Bowery,-73.99161162,New York,NY,1980,0101000020E610000000008012727F52C065EB716D095D4440,,,Bar restaurant entertainment,,true,true,false,560,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Pink Pages Winter Spring 1994,Reeds,false,8 Christopher St,-74.00005412,New York,NY,1994,0101000020E61000000000404A018052C0565BFB68EB5D4440,,,,,true,true,false,561,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
